"Show Image","Show Image"
"Show the payment method's description on the checkout page.","Show the payment method's description on the checkout page."
"Show the payment method's image on the checkout page.","Show the payment method's image on the checkout page."
"Sort Order","Sort Order"
"Space Details","Space Details"
"Space Id","Space Id"
"Space View Id","Space View Id"
"State","State"
"Synchronizing with Trust Payments failed:","Synchronizing with Trust Payments failed:"
"The Application User needs to have full permissions in all spaces this shop is linked to.","The Application User needs to have full permissions in all spaces this shop is linked to."
"The capture has already been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","The capture has already been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done."
"The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done."
"The capture of the invoice failed on the gateway.","The capture of the invoice failed on the gateway."
"The customer can be charged by using an existing token. If left empty, no token is used.","The customer can be charged by using an existing token. If left empty, no token is used."
"The description to set on the shipping line item.","The description to set on the shipping line item."
"The invoice cannot be cancelled.","The invoice cannot be cancelled."
"The invoice cannot be captured manually.","The invoice cannot be captured manually."
"The invoice cannot be created.","The invoice cannot be created."
"The order can be fulfilled now.","The order can be fulfilled now."
"The order should not be fulfilled yet, as the payment is not guaranteed.","The order should not be fulfilled yet, as the payment is not guaranteed."
"The payment process could not have been finished successfully.","The payment process could not have been finished successfully."
"The payment timed out. Please try again.","The payment timed out. Please try again."
"The refund was requested successfully, but is still pending on the gateway.","The refund was requested successfully, but is still pending on the gateway."
"The Space View Id allows to control the styling of the payment form and the payment page. It allows in multistore setups to adapt the payment form to different styling per substore without requiring a dedicated space.","The Space View Id allows to control the styling of the payment form and the payment page. It allows in multistore setups to adapt the payment form to different styling per substore without requiring a dedicated space."
"The token has been deleted.","The token has been deleted."
"The transaction linked to the order could not be loaded.","The transaction linked to the order could not be loaded."
"The void of the payment failed on the gateway.","The void of the payment failed on the gateway."
"The Trust Payments payment transaction has already been set on the order.","The Trust Payments payment transaction has already been set on the order."
"The Trust Payments transaction info is already linked to a different order.","The Trust Payments transaction info is already linked to a different order."
"There are %s manual tasks that need your attention.","There are %s manual tasks that need your attention."
"There has been an error while sending the refund to the gateway.","There has been an error while sending the refund to the gateway."
"There is a manual task that needs your attention.","There is a manual task that needs your attention."
"This order has a pending refund request.","This order has a pending refund request."
"Title","Title"
"To use this extension, a Trust Payments account is required. Sign up on <a href=""https://www.trustpayments.com//"" target=""_blank"">https://www.trustpayments.com/</a>.","To use this extension, a Trust Payments account is required. Sign up on <a href=""https://www.trustpayments.com//"" target=""_blank"">https://www.trustpayments.com/</a>."
"Token ID","Token ID"
"Token:","Token:"
"Transaction State","Transaction State"
"Transaction","Transaction"
"Unknown State","Unknown State"
"Update","Update"
"Use the custom description for the shipping line item.","Use the custom description for the shipping line item."
"User Id","User Id"
"View in Trust Payments","View in Trust Payments"
"Voided","Voided"
"Trust Payments Payment - {name}","Trust Payments Payment - {name}"
"Trust Payments Payment","Trust Payments Payment"
"Trust Payments SDK Version","Trust Payments SDK Version"
"Trust Payments Tokens","Trust Payments Tokens"
"Trust Payments:","Trust Payments:"
"Yes","Yes"
