"If you need help setting up the Trust Payments extension, check out the <a href=""https://plugin-documentation.ep.trustpayments.com/TrustPayments/magento-1/1.1.0/docs/en/documentation.html"" target=""_blank"">documentation</a>.","Falls Sie Hilfe benötigen beim Einrichten der Trust Payments-Erweiterung, sehen Sie sich die <a href=""https://plugin-documentation.ep.trustpayments.com/TrustPayments/magento-1/1.1.0/docs/en/documentation.html"" target=""_blank"">Dokumentation</a> an."
"Inactive","Inaktiv"
"Information","Informationen"
"Line Items","Positionen"
"Manage Trust Payments Tokens","Trust Payments Tokens verwalten"
"Module Version","Modulversion"
"Name","Name"
"No","Nein"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Nur eine Rechnung ist erlaubt. Um die Rechnung zu ändern, müssen Sie die vorhandene zuerst stornieren."
"Overwrite Shipping Description","Versandbeschreibung überschreiben"
"Payment Method","Zahlungsmethode"
"Pending","Ausstehend"
"Processing","In Verarbeitung"
"Registered notification about refunded amount of %s.","Benachrichtigung über gutgeschriebenen Betrag von %s registriert."
"Require that the line items of the transaction correspond to those of the purchase order in Magento. This may result in the Trust Payments payment methods not being available to the customer in certain cases. In return, it is ensured that only correct data is transmitted to Trust Payments.","Erfordere, dass die Einzelposten der Transaktion denen der Bestellung in Magento entsprechen. Dies kann dazu führen, dass die Zahlungsmethoden von Trust Payments dem Kunden in bestimmten Fällen nicht zur Verfügung stehen. Im Gegenzug wird sichergestellt, dass nur korrekte Daten an Trust Payments übertragen werden."
"Send Order Email","Bestellungs-E-Mail senden"
"Send Refund Request","Rückerstattungs-E-Mail senden"
"Send the Magento store's order email.","Das Bestellungs-E-Mail des Magento-Shops senden."
"Show Description","Beschreibung anzeigen"
"Show Image","Bild anzeigen"
"Show the payment method's description on the checkout page.","Die Zahlungsmethodenbeschreibung im Checkout anzeigen."
"Show the payment method's image on the checkout page.","Das Logo der Zahlungsart im Checkout anzeigen."
"Sort Order","Sortierreihenfolge"
"Space Details","Space-Details"
"Space Id","Space Id"
"Space View Id","Space View Id"
"State","Status"
"Synchronizing with Trust Payments failed:","Synchronisieren mit Trust Payments schlug fehl:"
"The Application User needs to have full permissions in all spaces this shop is linked to.","Der Applikationsbenutzer benötigt volle Berechtigung in allen Spaces, mit denen dieser Shop verlinkt ist."
"The capture has already been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","Der Capture wurde bereits angefordert, konnte aber noch nicht abgeschlossen werden. Die Rechnung wird aktualisiert, sobald der Capture abgeschlossen ist."
"The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","Der Capture wurde angefordert, konnte aber noch nicht abgeschlossen werden. Die Rechnung wird aktualisiert, sobald der Capture abgeschlossen ist."
"The capture of the invoice failed on the gateway.","Der Capture konnte beim Gateway nicht abgeschlossen werden."
"The customer can be charged by using an existing token. If left empty, no token is used.","Der Kunde kann mit einem vorhandenen Token belastet werden. Wenn die Auswahl leer bleibt, wird kein Token verwendet."
"The description to set on the shipping line item.","Die Beschreibung, welche für die Versandposition gesetzt werden soll."
"The invoice cannot be cancelled.","Die Rechnung kann nicht storniert werden."
"The invoice cannot be captured manually.","Die Rechnung kann nicht manuell erfasst werden."
"The invoice cannot be created.","Die Rechnung kann nicht angelegt werden."
"The order can be fulfilled now.","Die Bestellung kann jetzt geliefert werden."
"The order should not be fulfilled yet, as the payment is not guaranteed.","Die Bestellung sollte noch nicht geliefert werden, da die Zahlung nicht garantiert ist."
"The payment process could not have been finished successfully.","Der Zahlungsprozess konnte nicht erfolgreich abgeschlossen werden."
"The payment timed out. Please try again.","Die Zahlung wurde unterbrochen. Bitte versuchen Sie es erneut."
"The refund was requested successfully, but is still pending on the gateway.","Die Rückerstattung wurde erfolgreich angefordert, ist aber immer noch hängig beim Gateway."
"The Space View Id allows to control the styling of the payment form and the payment page. It allows in multistore setups to adapt the payment form to different styling per substore without requiring a dedicated space.","Mit der Space View-ID können Sie das Styling des Zahlungsformulars und der Bezahlseite steuern. In Multistore-Setups erlaubt dies das Anpassen des Bezahlformulars an die verschiedenen Styles der Substores, ohne mehrere Spaces erstellen zu müssen."
"The token has been deleted.","Das Token wurde gelöscht."
"The transaction linked to the order could not be loaded.","Die Transaktion zur Bestellung konnte nicht geladen werden."
"The void of the payment failed on the gateway.","Die Stornierung ist beim Gateway fehlgeschlagen."
"The Trust Payments payment transaction has already been set on the order.","Die Zahlungstransaktion in Trust Payments wurde der Bestellung bereits zugeordnet."
"The Trust Payments transaction info is already linked to a different order.","Die Trust Payments-Transaktionsinfo ist bereits mit einer anderen Bestellung verknüpft."
"There are %s manual tasks that need your attention.","Es gibt %s manuelle Aufgaben, die Ihre Aufmerksamkeit benötigen."
"There has been an error while sending the refund to the gateway.","Es gab einen Fehler beim Senden der Rückerstattung an das Gateway."
"There is a manual task that needs your attention.","Es gibt eine manuelle Aufgabe, die Ihre Aufmerksamkeit benötigt."
"This order has a pending refund request.","Dieser Auftrag hat eine ausstehende Rückerstattungsanforderung."
"Title","Titel"
"To use this extension, a Trust Payments account is required. Sign up on <a href=""https://www.trustpayments.com//"" target=""_blank"">https://www.trustpayments.com/</a>.","Um diese Erweiterung nutzen zu können, wird ein Trust Payments-Konto benötigt. Anmelden unter <a href=""https://www.trustpayments.com//"" target=""_blank"">https://www.trustpayments.com/</a>."
"Token ID","Token ID"
"Token:","Token:"
"Transaction State","Status der Transaktion"
"Transaction","Transaktion"
"Unknown State","Unbekannter Status"
"Update","Aktualisieren"
"Use the custom description for the shipping line item.","Eigene Beschreibung der Versandposition verwenden."
"User Id","Benutzer-Id"
"View in Trust Payments","In Trust Payments ansehen"
"Voided","Annulliert"
"Trust Payments Payment - {name}","Trust Payments Payment - {name}"
"Trust Payments Payment","Trust Payments Payment"
"Trust Payments SDK Version","Trust Payments SDK-Version"
"Trust Payments Tokens","Trust Payments Tokens"
"Trust Payments:","Trust Payments:"
"Yes","Ja"
